PM2.5,PM10,NO2,SO2,CO,O3,AQI
70.58,210.17,31.95,13.94,1.33,24.7,173.53577181208053
68.66,200.54,22.55,14.03,1.15,16.88,167.1373154362416
76.45,279.5,21.63,12.61,0.64,18.25,229.5
90.34,324.29,33.25,14.46,0.94,32.69,274.29
81.17,272.37,39.34,14.09,1.12,50.77,222.37
55.35,189.59,31.69,10.41,0.78,26.1,159.86181208053694
29.7,108.0,25.79,6.92,0.57,16.89,105.6510067114094
40.04,141.54,27.69,7.4,0.68,13.65,127.93597315436242
58.59,216.65,39.72,11.99,1.21,21.97,177.84127516778523
46.59,180.03,42.43,9.88,0.94,40.79,153.5098657718121
47.69,175.62,48.02,9.13,1.08,32.59,150.57973154362418
59.87,200.65,49.56,10.83,1.38,40.32,167.21040268456375
47.49,171.3,51.64,11.15,1.06,22.41,147.70939597315436
32.87,124.97,45.52,8.84,0.87,15.97,116.92637583892618
28.12,109.11,30.72,8.09,0.82,11.03,106.38852348993288
34.84,124.39,32.17,9.55,0.96,14.45,116.5410067114094
45.33,158.46,41.75,14.16,1.28,14.91,139.17812080536913
52.19,186.28,67.84,15.74,1.47,15.29,157.66255033557047
44.19,149.42,58.21,10.95,0.95,32.75,133.17167785234898
61.39,223.8,66.37,15.04,1.67,27.67,182.59194630872486
50.3,190.8,58.88,14.8,1.06,22.44,160.66577181208055
51.4,188.54,59.57,15.18,1.45,10.6,159.1641610738255
101.0,233.68,74.28,12.9,1.65,22.76,235.13793103448276
57.73,242.82,75.55,13.62,1.22,20.88,195.22939597315437
56.4,204.78,51.46,15.29,1.42,25.13,169.95449664429532
70.7,244.45,103.67,19.94,1.58,33.59,196.31241610738255
64.98,220.63,68.16,17.75,1.26,43.52,180.4857046979866
70.69,244.12,98.97,18.31,1.54,37.17,196.0931543624161
70.54,257.19,79.28,18.52,1.65,37.13,207.19
46.86,198.41,63.08,17.85,1.07,34.12,165.72208053691276
64.01,249.11,95.5,25.34,1.21,49.5,199.40865771812082
62.69,220.41,63.48,23.88,1.6,35.63,180.33953020134228
65.35,220.11,70.49,20.24,1.65,32.49,180.1402013422819
66.68,230.18,63.04,18.99,1.36,44.42,186.8310067114094
63.45,215.01,56.63,19.2,1.39,30.25,176.75161073825504
85.0,275.35,61.24,17.62,1.44,35.31,225.35000000000002
71.11,236.73,64.91,16.75,1.57,34.76,191.18302013422817
37.74,145.81,55.84,12.72,0.77,60.08,130.77308724832216
55.1,201.01,60.57,18.44,1.22,33.48,167.44959731543622
55.53,212.72,70.15,19.83,1.45,28.55,175.23006711409397
72.8,270.77,63.07,11.75,1.46,40.69,220.76999999999998
58.03,231.27,69.24,19.88,1.34,23.85,187.55523489932887
69.15,263.26,69.63,13.89,1.41,26.85,213.26
59.38,191.69,48.17,11.67,1.13,36.62,161.25711409395973
33.88,117.94,34.07,6.52,0.64,12.34,112.25543624161074
38.32,134.39,12.32,4.17,0.43,5.5,123.18530201342281
58.55,212.13,15.42,8.81,0.66,14.42,174.83805369127515
56.18,214.44,56.71,12.79,1.08,22.21,176.37288590604027
60.66,236.76,60.63,14.74,1.05,23.9,191.20295302013423
65.33,232.56,58.09,11.63,1.0,30.03,188.41234899328862
34.3,122.3,37.77,8.49,0.71,11.94,115.15234899328858
35.93,122.57,34.11,8.44,0.6,6.81,115.33174496644295
35.09,120.55,21.39,5.58,0.38,8.09,113.98959731543624
42.11,146.45,22.12,5.77,0.43,5.14,131.198322147651
47.64,179.79,22.98,9.76,0.7,6.49,153.35040268456376
45.04,178.94,19.92,10.42,0.66,4.46,152.78563758389262
44.63,169.6,16.25,12.06,0.77,4.18,146.57986577181208
84.61,301.11,12.02,14.95,0.8,6.15,251.11
70.13,247.21,25.42,11.14,0.45,10.86,198.1462416107383
59.03,203.94,27.06,9.38,0.49,11.9,169.3963758389262
43.89,152.06,21.57,8.98,0.46,9.25,134.92577181208054
36.02,126.54,18.29,8.61,0.43,4.84,117.96953020134228
33.71,121.09,20.81,8.8,0.49,5.21,114.34838926174497
36.68,119.86,23.56,7.55,0.63,7.46,113.53114093959732
29.68,96.95,21.08,7.35,0.52,6.29,96.95
26.72,87.95,8.39,17.38,0.41,4.32,87.95
24.52,74.24,15.07,65.41,0.31,5.52,81.66897435897435
27.96,108.27,25.74,52.92,0.5,4.0,105.83040268456375
37.72,138.23,14.58,30.37,0.82,4.79,125.73671140939597
34.62,137.77,15.25,21.9,0.79,5.09,125.43107382550336
26.97,90.35,14.84,15.15,0.57,3.82,90.35
24.23,87.0,14.02,8.72,0.23,3.5,87.0
29.75,112.41,14.52,8.92,0.28,2.11,108.58114093959732
26.96,102.21,16.58,8.37,0.25,2.5,101.80395973154361
25.85,92.93,15.9,8.05,0.33,1.63,92.93
78.28,151.05,20.68,11.12,0.63,15.68,159.99034482758623
46.78,171.04,37.19,13.68,1.09,8.55,147.536644295302
47.95,166.92,41.83,13.19,0.88,13.32,144.79919463087248
46.28,147.28,28.08,9.03,0.77,11.53,131.74979865771812
29.8,99.54,15.19,0.02,0.48,3.78,99.54
36.6,155.1,46.18,23.89,0.74,12.15,136.94563758389262
27.69,102.46,23.05,8.08,0.54,3.94,101.97006711409395
29.05,124.19,26.47,2.96,0.66,4.59,116.40812080536912
33.95,122.76,22.35,5.15,0.73,7.21,115.45798657718122
24.98,91.19,15.94,11.42,0.48,2.33,91.19
22.91,84.06,12.74,8.73,0.59,2.15,84.06
18.0,59.83,9.24,8.9,0.39,2.27,59.83
19.8,76.78,9.23,6.26,0.36,2.08,76.78
25.08,94.27,9.04,0.04,0.32,2.01,94.27
30.72,115.87,12.39,4.06,0.35,2.09,110.88006711409396
32.36,125.05,15.22,12.71,0.43,2.48,116.97953020134229
52.47,200.31,12.18,9.88,0.5,1.77,166.9844966442953
58.57,209.62,16.54,4.48,0.45,2.35,173.1703355704698
42.73,155.42,19.2,3.8,0.41,2.78,137.15825503355705
30.21,116.24,13.97,4.47,0.38,1.96,111.12590604026846
30.66,115.5,17.53,5.2,0.4,2.23,110.63422818791946
30.62,115.69,12.81,3.88,0.34,2.26,110.76046979865771
28.96,111.42,15.11,6.41,0.29,11.58,107.92335570469798
32.05,132.26,10.92,6.68,0.35,19.22,121.77006711409396
44.7,155.0,11.37,10.11,0.32,19.48,136.8791946308725
31.73,113.66,7.27,10.86,0.32,19.31,109.41167785234899
36.26,134.31,14.88,9.19,0.4,19.72,123.13214765100672
63.45,235.51,13.39,9.44,0.42,19.53,190.37241610738255
88.22,306.71,14.89,9.51,0.46,19.62,256.71
77.26,283.76,15.29,9.41,0.44,19.64,233.76
53.17,193.76,12.74,8.84,0.34,19.78,162.6324832214765
39.24,150.24,11.95,8.32,0.26,19.97,133.7165100671141
23.98,92.3,8.03,10.18,0.29,19.34,92.3
18.08,70.46,9.62,8.27,0.21,19.34,70.46
21.63,82.0,11.49,6.73,0.2,19.69,82.0
22.24,91.65,10.11,8.17,0.32,19.36,91.65
22.09,98.18,9.08,10.04,0.42,19.0,98.18
18.0,77.62,7.44,9.81,0.36,19.2,77.62
13.61,64.68,8.13,9.92,0.34,19.39,64.68
15.51,70.39,10.74,9.24,0.29,19.9,70.39
20.19,88.92,15.55,7.69,0.32,19.6,88.92
25.19,115.63,15.06,7.15,0.27,19.62,110.72060402684563
24.52,108.84,13.97,7.07,0.28,19.36,106.20912751677852
26.1,109.03,12.79,7.43,0.3,19.49,106.33536912751678
29.56,118.98,12.99,7.51,0.33,19.21,112.94644295302014
21.62,91.79,14.2,7.14,0.35,19.45,91.79
18.12,82.62,13.94,7.16,0.3,19.71,82.62
17.69,73.6,12.2,6.71,0.24,19.59,73.6
17.74,72.34,11.17,7.07,0.28,19.81,72.34
9.15,45.99,14.85,6.62,0.26,19.65,45.99
10.05,41.69,12.89,6.91,0.3,19.54,41.69
15.3,56.71,15.27,7.64,0.45,19.41,56.71
7.37,21.39,13.27,37.93,1.07,17.88,47.4125
9.47,34.37,13.47,7.73,0.34,19.1,34.37
11.35,45.06,16.26,6.96,0.3,19.21,45.06
14.96,62.14,12.49,7.27,0.29,19.0,62.14
14.69,56.92,10.61,7.33,0.26,19.02,56.92
16.36,55.49,9.05,7.72,0.32,19.02,55.49
15.91,58.29,8.55,8.48,0.32,18.74,58.29
14.77,54.15,9.91,8.62,0.33,19.05,54.15
8.88,31.46,9.56,8.94,0.31,19.05,31.46
9.99,55.71,9.97,8.9,0.35,19.0,55.71
9.92,33.19,12.74,9.5,0.48,19.63,33.19
15.85,48.52,11.67,9.74,0.5,19.99,48.52
13.21,51.02,12.71,10.22,0.47,20.14,51.02
14.8,43.46,11.11,10.82,0.57,19.96,43.46
10.14,39.42,20.59,11.04,0.56,20.06,39.42
7.76,29.69,23.96,10.08,0.32,20.03,29.950000000000003
10.79,36.31,17.4,10.59,0.38,20.14,36.31
19.13,53.38,10.94,10.67,0.49,20.3,53.38
21.48,66.12,4.89,12.73,0.73,19.75,66.12
11.83,29.45,7.45,11.73,0.54,19.68,29.45
14.33,35.88,5.6,12.14,0.7,18.45,35.88
21.64,74.92,8.98,11.57,0.45,19.45,74.92
18.4,67.09,12.48,9.92,0.22,19.4,67.09
12.74,38.92,6.41,11.99,0.45,19.37,38.92
6.85,36.44,1.38,13.64,0.61,15.61,36.44
18.05,60.66,5.09,11.76,0.43,128.36,141.4274626865672
17.41,57.29,7.48,10.97,0.38,10.75,57.29
14.96,47.42,7.73,10.72,0.45,19.79,47.42
14.8,47.91,8.93,10.28,0.34,19.96,47.91
13.39,47.33,13.31,10.61,0.37,21.21,47.33
23.11,66.05,14.76,9.38,0.36,31.76,66.05
18.07,55.92,15.68,8.94,0.3,19.84,55.92
17.6,58.71,12.48,8.91,0.36,19.71,58.71
19.61,64.77,11.97,8.22,0.36,19.69,64.77
16.36,52.19,12.56,8.13,0.4,19.64,52.19
16.53,56.9,14.89,7.81,0.41,19.62,56.9
17.33,65.89,15.81,8.03,0.41,19.53,65.89
17.24,59.37,16.16,8.07,0.37,19.48,59.37
14.21,47.7,15.45,7.58,0.29,19.45,47.7
14.24,50.47,16.08,7.38,0.3,19.57,23.733333333333334
16.18,52.41,16.69,7.63,0.36,19.84,52.41
17.03,51.36,15.81,8.6,0.6,19.83,51.36
24.86,89.62,19.82,10.11,0.85,20.08,89.62
22.4,115.47,18.3,9.67,0.63,19.71,110.61429530201342
18.89,89.06,16.02,9.1,0.57,20.9,89.06
20.66,86.56,17.88,8.51,0.45,19.66,86.56
16.34,65.13,17.08,15.47,0.46,19.66,65.13
17.57,70.03,19.09,30.48,0.39,21.83,70.03
18.26,62.31,18.51,34.97,0.54,23.13,62.31
16.55,66.67,19.64,35.34,0.51,22.23,66.67
13.01,47.67,21.66,24.39,0.54,22.07,47.67
10.63,32.93,26.04,13.25,0.53,22.01,32.93
12.77,32.4,25.95,10.6,0.49,19.23,32.4375
9.53,26.69,25.53,9.13,0.5,18.43,31.9125
12.26,36.21,21.5,2.85,0.27,18.45,36.21
13.04,39.51,17.85,3.2,0.2,18.63,39.51
17.42,53.37,15.19,6.43,0.24,18.25,53.37
15.15,46.81,16.52,4.31,0.19,18.12,46.81
15.16,49.1,12.08,4.72,0.22,18.31,49.1
14.75,49.58,11.55,4.79,0.24,18.03,49.58
13.9,45.41,8.0,4.92,0.26,18.29,45.41
12.34,37.81,10.3,4.86,0.24,17.97,37.81
11.86,38.07,13.97,3.17,0.19,18.4,38.07
12.65,39.67,10.62,3.43,0.21,22.22,39.67
13.44,45.07,3.78,5.68,0.36,18.02,45.07
13.12,39.66,3.58,5.13,0.41,18.18,39.66
13.2,45.12,6.05,3.9,0.27,20.48,45.12
13.61,45.69,6.5,3.89,0.29,19.13,45.69
12.32,42.66,3.65,5.44,0.29,19.72,42.66
15.08,45.51,2.59,6.79,0.36,18.09,45.51
15.34,52.97,3.0,8.0,0.4,18.06,52.97
21.18,83.68,7.13,8.07,0.49,18.04,83.68
24.49,108.37,7.25,7.58,0.54,18.25,105.8968456375839
23.01,101.24,7.76,7.61,0.49,18.22,101.15946308724831
25.53,108.19,9.05,6.23,0.59,18.77,105.77724832214766
31.8,146.74,9.68,5.37,0.55,18.84,131.3910067114094
33.22,125.03,14.91,4.95,0.45,20.73,116.96624161073825
18.22,65.92,17.78,4.94,0.48,21.91,65.92
26.63,98.81,14.74,6.1,0.61,20.31,98.81
27.87,92.35,11.35,9.22,0.72,21.53,92.35
18.78,57.98,5.89,9.26,0.61,18.49,57.98
18.42,67.06,9.18,8.53,0.52,21.29,67.06
21.32,91.65,7.8,9.01,0.65,18.09,91.65
23.33,85.37,13.16,8.58,0.66,18.22,85.37
17.93,50.26,20.1,8.49,0.69,18.76,34.5
17.32,51.13,17.96,9.09,0.76,18.96,51.13
18.68,51.66,15.13,7.01,0.67,22.88,51.66
20.97,60.82,14.5,7.19,0.71,22.37,60.82
12.41,34.64,18.77,6.15,0.51,42.57,42.57
10.75,26.57,12.41,7.55,0.53,21.48,26.57
9.87,24.05,17.53,5.48,0.21,26.83,26.83
10.45,31.23,18.66,3.64,0.17,25.93,31.23
11.95,33.22,12.37,6.17,0.44,23.62,33.22
9.77,32.37,6.77,8.47,0.46,23.32,32.37
10.83,29.66,3.38,7.52,0.51,24.09,29.66
15.89,49.5,6.67,7.99,0.62,23.69,49.5
18.93,62.04,4.8,7.29,0.73,23.93,62.04
17.03,63.08,3.57,7.71,0.62,24.35,63.08
20.65,74.69,1.76,7.96,0.71,23.84,74.69
20.24,73.6,12.92,7.41,0.61,23.94,73.6
13.95,47.43,9.98,6.11,0.46,24.09,47.43
12.38,53.72,8.21,6.02,0.44,23.98,53.72
20.59,111.16,9.51,7.55,0.74,24.3,107.75060402684564
26.49,127.9,5.87,10.91,1.04,23.81,118.87315436241612
27.33,100.52,7.07,11.25,1.23,23.81,58.077777777777776
30.81,109.05,8.89,10.81,1.11,23.63,106.3486577181208
30.59,117.64,12.24,10.81,1.03,23.55,112.05610738255034
28.88,115.36,10.49,10.44,0.88,23.79,110.54120805369128
20.21,103.01,7.34,10.2,0.73,23.88,102.3355033557047
23.47,129.68,15.2,8.13,0.71,23.46,120.0558389261745
31.58,169.6,19.1,5.68,0.67,24.07,146.57986577181208
24.75,111.69,19.75,5.29,0.51,27.88,108.10275167785235
17.84,83.04,17.82,5.23,0.53,28.89,83.04
17.41,51.14,18.25,5.91,0.59,25.59,51.14
10.92,35.98,14.46,7.05,0.61,23.94,35.98
14.15,51.04,8.64,7.9,0.55,23.86,51.04
24.68,104.58,16.79,6.49,0.76,24.06,103.3786577181208
27.7,119.88,12.49,7.16,0.8,24.62,113.54442953020134
26.3,94.0,11.15,9.7,0.94,24.05,94.0
29.15,98.04,14.0,10.2,1.21,23.96,98.04
24.82,85.35,22.47,7.52,0.9,24.24,85.35
31.13,150.56,17.73,8.26,1.03,24.23,133.92912751677852
37.11,188.71,24.19,7.24,0.86,26.68,159.27711409395974
32.3,146.44,21.8,7.45,0.79,24.67,131.191677852349
26.2,103.83,17.77,7.06,0.68,26.53,102.8803355704698
27.64,118.46,34.92,7.67,0.83,26.03,112.60093959731543
40.85,185.11,32.57,9.27,1.0,24.32,156.8851677852349
44.27,200.07,33.54,9.7,1.17,24.95,166.825033557047
42.59,207.26,32.52,9.34,0.87,24.63,171.60228187919463
56.94,285.15,35.51,9.19,1.06,27.18,235.14999999999998
70.7,207.87,38.84,9.15,1.03,29.71,172.00758389261745
127.06,257.33,40.24,9.73,1.31,27.74,305.6506976744186
70.62,298.12,45.49,8.18,1.2,27.55,248.12
68.78,292.24,54.95,6.59,1.14,28.23,242.24
59.48,251.33,54.67,7.07,1.02,30.11,201.33
52.62,260.18,45.35,6.75,0.9,30.47,210.18
40.81,185.34,53.56,5.51,0.71,33.87,157.03798657718121
51.31,249.2,35.2,5.9,1.04,31.36,199.4684563758389
60.26,303.34,34.23,6.06,1.09,37.79,253.33999999999997
58.41,228.07,37.05,6.51,1.17,34.07,185.42906040268457
47.13,284.69,35.99,7.01,1.12,32.71,234.69
45.83,179.72,37.36,7.07,1.02,34.18,153.30389261744966
57.21,207.55,31.84,8.96,1.41,29.13,171.794966442953
60.51,228.88,38.21,8.98,1.52,28.7,185.96724832214767
62.4,228.79,36.99,10.21,1.62,29.54,185.90744966442952
67.92,251.5,48.59,9.8,1.54,30.58,201.5
57.45,204.33,42.36,9.77,1.38,31.29,169.6555033557047
44.91,168.62,41.79,7.65,0.94,34.44,145.92872483221475
50.04,179.24,45.26,7.04,0.9,37.23,152.98496644295304
52.48,185.27,41.11,6.62,0.92,38.99,156.99147651006712
67.43,224.17,53.01,7.55,1.34,36.73,182.83778523489934
79.58,261.86,48.59,10.32,1.89,33.79,211.86
64.57,231.04,46.81,11.15,1.73,30.07,187.40241610738255
52.29,195.87,42.62,9.69,1.22,31.68,164.03442953020135
33.47,136.09,39.32,7.3,0.88,37.84,124.3148322147651
39.2,156.3,40.71,6.49,1.03,38.6,137.74295302013422
38.38,147.1,43.01,6.05,0.96,40.58,131.63020134228188
42.52,164.49,52.87,2.9,1.01,40.23,143.18463087248324
58.75,212.44,58.44,1.7,1.46,35.51,175.04402684563757
65.12,239.34,54.82,5.82,1.56,36.69,192.9171812080537
76.77,276.91,56.38,8.05,1.93,30.44,226.91000000000003
76.4,270.59,55.55,8.04,1.9,30.17,220.58999999999997
83.18,274.39,55.94,8.63,1.88,30.74,224.39
75.3,251.05,48.15,9.19,1.94,30.24,201.05
55.88,214.07,36.84,9.66,1.87,26.98,176.12704697986578
61.92,218.41,48.08,9.6,1.87,28.29,179.0106711409396
69.28,240.28,49.11,7.82,1.79,31.75,193.54174496644296
87.74,297.23,59.74,7.13,1.88,32.82,247.23000000000002
75.0,263.96,54.58,4.46,1.81,31.74,213.95999999999998
75.18,257.46,48.94,8.91,2.01,31.47,207.45999999999998
80.23,252.37,48.82,8.17,1.98,29.19,202.37
91.02,286.4,48.09,8.23,2.18,26.88,236.39999999999998
88.33,274.46,36.13,7.43,1.97,28.04,224.45999999999998
90.23,281.73,34.29,7.78,1.88,28.34,231.73000000000002
70.14,236.35,29.29,7.91,1.57,29.49,190.93053691275168
43.87,167.81,35.89,7.87,1.17,35.59,145.39053691275168
51.18,195.26,36.61,3.19,1.44,31.4,163.6291275167785
60.66,215.0,45.81,5.64,1.81,29.57,176.74496644295303
50.64,177.42,37.41,5.73,1.38,29.96,151.77570469798655
46.83,156.33,26.09,10.71,1.26,26.3,137.76288590604028
37.85,133.72,30.08,13.39,1.17,24.89,122.74013422818791
39.68,138.49,37.56,4.84,1.34,26.01,125.90946308724833
45.19,160.07,47.16,2.67,1.43,28.05,140.2478523489933
48.71,177.9,45.67,8.56,1.45,27.4,152.09463087248324
44.96,153.85,42.1,8.31,1.17,29.54,136.11510067114094
41.57,173.85,41.43,6.98,1.21,29.65,149.40369127516777
51.43,190.74,46.27,7.72,1.38,29.86,160.62590604026846
59.08,211.27,49.85,8.18,1.61,32.84,174.26664429530203
73.21,260.78,53.34,7.68,2.01,31.07,210.77999999999997
70.07,254.18,45.46,11.21,1.85,30.0,204.18
46.94,192.69,40.79,11.46,1.29,29.52,161.92154362416107
62.25,206.43,38.49,7.69,1.43,34.53,171.05080536912754
67.81,228.86,39.95,6.37,1.66,33.22,185.95395973154365
76.74,254.57,46.08,1.1,1.99,30.07,204.57
70.6,247.1,31.77,0.34,1.89,26.81,198.07315436241612
71.19,251.56,39.61,0.5,2.07,27.41,201.56
77.12,261.26,51.28,8.97,1.94,31.66,211.26
59.84,219.35,43.41,1.47,1.78,29.2,179.63523489932885
47.77,168.49,41.38,0.83,1.25,34.33,145.8423489932886
63.25,222.78,48.1,6.36,1.73,28.72,181.91422818791946
69.79,252.3,56.06,1.25,1.86,29.59,202.3
71.81,255.13,41.63,0.96,1.93,37.94,205.13
77.29,252.21,32.84,0.91,1.9,33.59,202.21
72.24,238.56,25.74,1.71,1.83,29.29,192.39892617449664
35.23,149.94,35.17,1.65,1.33,32.38,133.5171812080537
49.31,201.97,44.43,5.23,1.55,30.87,168.08744966442953
67.59,255.51,46.48,14.14,2.01,31.6,205.51
41.76,174.85,59.65,17.54,1.25,33.87,150.06812080536912
57.64,246.19,30.09,29.91,0.92,24.85,197.4685234899329
64.6,265.68,45.03,38.05,1.09,32.65,215.68
67.7,245.56,43.15,36.16,1.52,32.25,197.04993288590606
73.3,255.57,49.52,32.99,1.79,31.38,205.57
86.26,298.93,56.18,24.58,2.04,32.8,248.93
87.65,299.49,52.63,33.38,2.2,38.3,249.49
90.25,329.1,42.01,18.64,1.56,26.98,279.1
62.51,226.33,42.5,19.96,0.7,28.0,184.27295302013425
51.09,193.81,65.87,20.53,1.69,30.71,162.6657046979866
45.55,180.6,65.56,19.09,2.79,33.26,153.88859060402683
50.43,192.03,75.41,24.63,2.8,31.1,161.48302013422818
55.69,204.9,81.92,20.75,2.8,32.21,170.03422818791947
63.61,234.36,88.15,15.71,1.62,33.33,189.60832214765102
79.23,259.29,81.98,14.77,0.51,34.22,209.29000000000002
81.75,268.96,16.21,14.68,1.36,27.33,218.95999999999998
40.31,247.19,7.49,15.25,2.24,27.69,198.13295302013424
46.0,182.11,42.96,14.78,1.44,35.63,154.8918791946309
59.24,219.22,36.27,14.35,2.09,31.01,179.5488590604027
68.65,257.8,38.28,14.57,2.15,31.3,207.8
67.3,242.94,37.69,14.54,2.42,31.57,195.30912751677852
60.63,225.58,36.12,14.72,1.81,34.06,183.77463087248321
46.28,208.91,30.79,14.61,1.48,29.13,172.69859060402683
74.63,288.24,44.22,14.6,2.21,27.82,238.24
72.96,288.29,37.68,15.8,2.82,32.21,238.29000000000002
60.36,232.08,27.9,17.95,2.11,30.35,188.09342281879196
42.25,191.9,16.09,14.8,1.75,28.88,161.39664429530202
51.03,203.31,29.29,14.34,1.93,30.75,168.97778523489933
36.62,167.91,24.91,14.7,1.35,38.17,145.4569798657718
55.56,220.05,30.57,14.65,1.99,32.21,180.1003355704698
63.67,255.95,35.77,8.58,2.38,29.8,205.95
59.26,248.23,30.84,8.46,2.21,29.5,198.82395973154362
74.64,264.21,35.13,8.65,2.88,30.28,214.20999999999998
60.85,241.3,29.66,9.16,2.17,32.39,194.21946308724833
68.6,266.18,27.02,8.46,2.44,37.23,216.18
67.95,241.76,25.63,8.32,2.41,28.19,194.52510067114093
63.34,246.11,28.22,8.36,2.36,26.62,197.41536912751678
41.32,180.18,23.24,9.08,1.69,25.43,153.6095302013423
63.99,253.76,38.59,8.73,2.21,28.24,203.76
71.61,281.34,49.56,8.32,2.67,30.62,231.33999999999997
64.69,264.85,36.69,9.0,2.38,33.31,214.85000000000002
70.67,265.11,44.67,8.5,2.41,32.01,215.11
62.64,243.15,46.37,8.51,2.32,27.75,195.4486577181208
60.67,239.57,32.92,9.52,2.22,24.93,193.07
63.52,240.95,37.25,8.62,2.34,23.66,193.98691275167783
80.12,284.52,52.18,8.25,2.9,23.7,234.51999999999998
95.68,339.86,59.34,8.47,3.17,23.81,289.86
100.86,347.72,61.58,8.66,3.29,23.94,297.72
95.37,320.22,54.47,9.05,2.79,23.87,270.22
72.51,300.75,48.1,8.61,2.22,23.6,250.75
33.37,132.74,30.81,8.45,1.4,23.87,122.08899328859061
41.31,155.64,35.59,8.52,1.9,23.74,137.30442953020133
39.6,164.26,39.5,8.42,1.7,23.64,143.0318120805369
34.44,163.55,43.9,8.43,1.57,23.52,142.56006711409395
49.99,200.41,50.13,8.58,2.02,23.66,167.05093959731545
60.21,216.62,53.35,8.5,2.07,23.51,177.8213422818792
66.62,220.99,47.65,8.53,2.34,23.76,180.72489932885907
60.12,204.54,51.48,8.61,1.92,23.62,169.79503355704696
50.29,191.86,46.96,8.72,1.71,23.73,161.37006711409396
38.67,148.18,40.06,8.7,1.31,23.69,132.34778523489933
37.23,136.16,36.59,8.42,1.42,23.71,124.36134228187919
36.12,132.49,34.02,8.5,1.35,23.7,121.92288590604028
25.35,101.46,25.06,8.57,1.11,23.82,101.30563758389262
20.72,96.22,23.94,8.58,1.07,23.88,96.22
19.28,87.74,25.95,8.59,1.1,23.78,87.74
27.66,121.37,21.43,8.54,1.33,23.51,114.53442953020135
19.78,92.23,16.38,8.62,1.26,23.62,92.23
23.01,97.22,10.24,8.68,1.3,23.48,97.22
21.69,109.87,24.64,8.57,1.12,23.55,106.89348993288591
26.29,117.52,22.85,8.54,1.3,23.47,111.97637583892617
30.74,130.05,24.29,8.61,1.3,23.61,120.301677852349
36.21,148.89,24.71,8.61,1.32,23.66,132.81953020134227
35.67,146.31,24.24,8.58,1.3,23.54,131.10530201342283
27.44,117.18,18.86,8.53,1.19,23.61,111.75046979865772
22.99,112.56,17.51,8.6,1.12,23.56,108.68080536912751
29.55,128.25,20.44,8.67,1.27,23.6,119.10570469798658
24.18,107.86,19.16,8.55,1.27,23.52,105.55798657718121
22.16,95.62,19.69,8.62,1.21,23.51,95.62
22.05,102.97,21.57,8.54,1.28,23.61,102.30892617449665
25.85,110.27,24.18,8.57,1.3,23.44,107.15926174496644
35.45,153.71,33.36,8.6,1.43,23.54,136.02208053691277
48.57,215.34,41.38,8.57,1.59,23.58,176.97087248322148
64.89,219.12,46.35,8.56,2.38,23.76,179.48241610738256
48.82,185.78,45.96,8.53,1.93,23.58,157.3303355704698
47.58,191.21,48.94,8.6,1.66,23.43,160.9381879194631
36.04,155.7,47.62,8.64,1.43,23.45,137.34429530201342
37.71,176.1,50.02,8.47,1.46,23.42,150.8986577181208
45.25,195.4,54.62,8.55,1.73,23.74,163.7221476510067
35.21,152.29,46.32,8.66,1.52,23.54,135.07859060402683
30.99,140.05,35.3,8.6,1.45,23.76,126.94597315436242
29.05,129.0,27.76,8.53,1.52,23.51,119.60402684563758
27.08,119.35,30.34,8.62,1.33,23.65,113.19228187919462
35.88,166.86,40.86,8.6,1.55,23.53,144.75932885906042
43.22,181.83,48.57,8.61,1.66,23.52,154.70583892617452
29.7,129.16,35.47,8.69,1.36,23.71,119.7103355704698
20.48,100.12,23.04,8.64,1.24,23.56,58.62222222222222
14.28,69.13,22.75,8.61,1.1,23.49,69.13
17.73,80.62,22.53,8.7,1.07,23.65,80.62
24.82,88.86,26.88,8.61,1.22,23.69,88.86
28.56,122.12,32.81,8.54,1.2,23.7,115.03275167785236
24.01,97.65,27.72,8.43,1.11,23.67,97.65
21.53,96.71,29.64,8.55,1.23,23.58,96.71
16.77,81.14,26.28,8.7,1.22,23.68,81.14
15.15,71.24,24.28,8.7,1.23,23.73,71.24
15.24,74.67,21.86,8.77,1.15,24.0,74.67
13.37,57.87,26.94,8.45,1.15,23.96,57.87
14.59,65.14,25.78,8.91,1.13,23.72,65.14
17.33,80.14,24.95,8.52,1.19,24.97,80.14
17.26,91.03,25.2,9.14,1.23,23.65,91.03
14.49,81.19,23.57,9.19,1.21,23.66,81.19
14.98,92.79,23.4,40.94,1.24,23.61,92.79
14.19,75.26,21.83,14.96,1.21,23.76,75.26
12.7,69.8,20.18,8.6,1.22,23.69,69.8
18.33,96.37,23.2,17.32,1.19,23.73,96.37
28.23,140.42,28.99,48.64,1.17,23.94,127.1918120805369
30.03,123.67,34.04,56.76,1.24,23.97,116.06261744966443
27.87,115.78,31.78,58.29,1.2,23.84,110.82026845637584
20.3,76.48,26.95,58.7,1.05,23.7,76.48
16.26,87.63,23.1,58.41,1.07,23.87,87.63
11.99,67.39,19.41,58.06,1.11,24.02,72.43435897435897
13.48,86.66,28.49,60.31,1.13,24.06,86.66
11.56,75.46,23.38,59.97,1.12,23.88,75.46
11.31,67.38,24.84,60.09,1.11,23.9,74.9848717948718
13.33,79.79,23.81,60.14,1.1,23.66,79.79
13.87,76.49,22.97,60.07,1.12,23.71,76.49
13.19,75.18,24.21,60.28,1.19,23.82,75.22358974358974
14.57,82.3,23.66,60.12,1.13,23.74,82.3
