PM2.5,PM10,NO2,SO2,CO,O3,AQI
26.96,53.6,24.18,4.23,0.3,40.84,53.6
30.18,55.29,25.98,5.0,0.34,41.85,55.29
25.23,45.37,24.37,4.99,0.29,45.91,45.91
13.49,30.0,22.36,3.42,0.21,32.23,32.23
19.92,41.84,27.24,5.39,0.31,29.36,41.84
18.79,38.66,23.88,4.4,0.3,28.67,38.66
16.22,32.73,21.86,4.88,0.21,25.02,32.73
10.65,22.02,19.79,4.78,0.17,22.51,24.737499999999997
9.07,19.0,16.05,5.3,0.18,27.11,27.11
11.98,27.21,18.21,4.58,0.14,28.34,28.34
18.38,33.8,16.84,3.94,0.17,30.4,33.8
22.22,48.32,18.77,4.28,0.2,27.49,48.32
18.26,37.08,17.7,4.91,0.16,34.54,37.08
10.25,23.57,18.33,4.95,0.18,30.82,30.82
10.83,24.86,19.8,4.37,0.21,30.42,30.42
14.3,28.89,18.12,4.57,0.13,35.1,35.1
17.39,33.34,20.02,4.57,0.21,26.57,33.34
19.26,45.84,23.61,4.13,0.32,31.19,45.84
14.47,26.94,17.51,7.22,0.27,24.26,26.94
9.26,19.08,19.0,2.87,0.2,22.71,23.75
10.57,22.59,16.26,4.59,0.18,31.04,31.04
14.76,30.2,18.36,4.26,0.17,34.53,34.53
19.23,37.89,20.5,4.04,0.18,34.33,37.89
16.46,35.59,21.51,4.33,0.3,30.46,35.59
14.55,28.92,23.52,4.1,0.34,32.02,32.02
15.56,27.71,20.66,4.9,0.31,38.6,38.6
18.39,32.86,25.97,4.13,0.3,38.13,38.13
20.18,41.86,22.15,3.63,0.29,11.76,41.86
15.28,33.98,21.31,4.54,0.22,24.82,33.98
19.03,48.31,23.21,4.02,0.36,22.85,48.31
13.14,27.12,19.51,4.42,0.27,31.86,31.86
13.44,29.34,22.31,4.39,0.25,31.94,31.94
15.72,31.29,25.88,3.78,0.29,21.98,32.35
18.17,39.62,24.81,3.04,0.39,23.27,39.62
24.18,44.14,26.98,4.93,0.3,24.28,44.14
29.14,59.38,25.16,15.14,0.69,27.36,59.38
10.03,22.3,13.74,11.13,0.18,23.1,23.1
10.26,29.1,13.1,3.52,0.24,26.48,29.1
8.74,18.31,12.27,3.28,0.17,25.47,25.47
16.7,31.69,15.44,3.96,0.17,27.98,31.69
15.26,27.72,11.71,4.29,0.19,22.65,27.72
14.44,31.39,6.83,4.07,0.18,15.89,31.39
13.79,21.93,27.51,13.05,0.03,5.19,34.3875
17.23,33.91,17.01,4.5,0.11,10.48,33.91
15.49,23.0,15.7,4.26,0.16,13.7,25.816666666666666
10.67,16.61,15.25,3.96,0.13,17.15,19.0625
12.71,21.42,17.41,4.19,0.13,17.04,21.7625
16.9,30.53,17.16,4.78,0.17,19.31,30.53
13.21,23.07,17.73,3.95,0.13,14.41,23.07
12.46,21.74,17.12,4.73,0.13,15.74,21.74
12.37,22.98,15.22,4.17,0.14,18.47,22.98
15.76,30.26,15.7,3.79,0.17,18.81,30.26
14.04,28.3,16.39,4.01,0.18,21.26,28.3
15.45,31.92,17.48,3.48,0.13,19.65,31.92
20.64,38.77,20.1,4.71,0.21,16.4,38.77
24.46,51.22,20.39,4.66,0.23,21.02,51.22
20.56,37.9,19.75,5.12,0.23,16.18,37.9
17.59,30.72,19.54,4.95,0.13,21.68,30.72
18.82,36.9,18.94,4.91,0.16,22.19,36.9
16.24,32.82,19.64,4.17,0.15,22.96,32.82
21.87,41.32,22.69,4.55,0.23,21.26,41.32
34.12,70.51,23.72,4.65,0.32,23.83,70.51
32.49,64.28,24.86,4.93,0.3,33.11,64.28
33.05,57.22,25.79,4.3,0.28,45.69,57.22
23.47,44.27,23.83,4.96,0.25,38.12,44.27
21.23,42.94,25.52,5.51,0.3,38.97,42.94
23.59,45.09,25.78,3.81,0.26,49.96,49.96
22.93,42.54,22.78,3.57,0.29,42.98,42.98
27.88,50.64,24.0,4.96,0.28,59.09,59.09
28.05,53.76,26.77,5.69,0.34,45.39,53.76
25.43,49.72,24.08,4.9,0.26,36.52,49.72
31.89,57.64,29.94,5.63,0.35,30.56,57.64
12.71,26.54,18.65,4.94,0.16,33.6,33.6
12.99,21.66,16.52,3.24,0.17,40.45,40.45
19.02,32.89,18.08,5.08,0.21,36.46,36.46
13.27,23.93,17.64,4.82,0.21,41.03,41.03
16.27,27.94,18.98,4.59,0.22,50.98,27.94
16.29,25.96,18.17,4.79,0.27,42.2,42.2
18.35,32.22,18.05,4.53,0.25,34.23,34.23
31.28,49.22,20.93,4.75,0.25,39.22,51.473103448275864
25.43,38.28,18.42,4.52,0.24,58.4,58.4
13.72,23.55,16.44,4.36,0.13,43.6,43.6
13.23,23.89,15.68,5.0,0.15,32.18,32.18
15.84,31.59,15.88,4.6,0.18,25.79,31.59
17.25,34.8,17.1,4.67,0.14,19.57,34.8
16.16,31.38,20.62,5.38,0.25,20.49,31.38
10.75,18.88,18.23,5.07,0.18,18.91,22.7875
20.38,37.19,21.61,5.48,0.23,19.51,37.19
32.67,60.94,24.85,5.57,0.36,20.5,60.94
37.7,65.61,23.93,4.46,0.35,28.62,65.61
43.7,79.49,26.14,5.37,0.3,19.06,79.49
47.87,99.57,24.05,5.77,0.35,27.26,99.57
46.66,92.64,23.29,5.19,0.34,32.68,92.64
39.99,86.99,23.55,5.41,0.42,34.03,86.99
47.98,104.52,27.09,4.38,0.39,37.55,103.33879194630872
60.85,115.54,26.54,1.61,0.49,37.29,110.66080536912752
53.03,94.64,29.06,2.03,0.52,30.11,94.64
46.64,79.81,27.77,1.05,0.53,29.2,79.81
33.11,64.36,29.23,0.9,0.62,21.38,64.36
22.46,41.67,23.63,1.31,0.33,16.22,41.67
28.49,49.54,25.74,3.11,0.38,19.15,49.54
19.01,27.96,22.35,0.27,0.3,20.3,31.683333333333337
13.61,25.95,32.57,0.71,0.41,16.6,40.7125
19.41,38.7,27.92,0.87,0.39,22.46,38.7
22.26,47.98,27.62,0.92,0.39,21.02,47.98
22.47,48.99,29.44,1.37,0.34,29.75,48.99
23.23,35.54,33.19,1.77,0.47,26.6,41.4875
28.74,55.67,33.75,1.27,0.61,15.71,55.67
41.66,62.29,35.7,1.27,0.62,20.08,69.01172413793103
41.4,88.06,30.27,0.76,0.51,24.05,88.06
74.86,134.51,36.97,4.21,0.69,33.22,148.3151724137931
73.32,153.15,39.47,3.38,0.82,39.91,143.05793103448275
67.11,134.09,41.28,4.5,0.85,40.3,122.98597315436243
61.02,110.38,37.29,1.44,0.78,41.75,107.23234899328858
60.19,116.24,35.43,2.29,0.64,43.26,111.12590604026846
63.64,121.84,36.78,3.49,0.51,50.83,114.84671140939598
63.67,130.21,44.49,3.32,0.63,39.82,120.40798657718122
72.58,137.77,45.98,4.56,0.62,45.37,140.53172413793104
74.78,148.85,43.11,14.63,0.52,48.49,148.04206896551725
77.95,162.03,40.08,5.75,0.59,56.33,158.8637931034483
69.98,154.8,38.3,4.47,0.6,72.94,136.74630872483223
74.91,161.18,40.99,6.38,0.62,62.09,148.4858620689655
80.5,169.08,38.06,7.77,0.57,70.49,167.5689655172414
70.27,160.05,45.31,10.47,0.59,62.95,140.23456375838927
61.53,142.19,44.13,6.63,0.52,64.47,128.3678523489933
66.94,140.3,45.03,10.34,0.64,60.09,127.11208053691276
77.68,152.21,37.13,7.37,0.58,68.07,157.94206896551725
61.6,123.96,39.15,16.6,0.33,72.3,116.25530201342282
70.27,145.45,43.05,14.8,0.52,83.75,132.6458620689655
73.86,158.93,39.66,14.05,0.58,95.04,144.90137931034482
57.82,123.75,47.0,13.58,0.59,58.05,116.11577181208054
27.41,58.22,35.85,2.94,0.51,29.58,58.22
29.99,64.28,36.25,2.45,0.54,32.44,64.28
43.64,91.49,38.89,3.57,0.5,41.05,91.49
