country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","27-01-2026 09:00:00",26.9164092,75.7994901,CO,67,78,73
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","27-01-2026 09:00:00",26.786682,75.827928,PM10,90,156,127
India,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB","27-01-2026 09:00:00",21.869985,85.167016,CO,NA,NA,NA
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","27-01-2026 09:00:00",11.9309,79.8027,PM2.5,19,65,35
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","27-01-2026 09:00:00",11.9309,79.8027,NO2,12,32,21
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","27-01-2026 09:00:00",11.9309,79.8027,NH3,2,4,3
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","27-01-2026 09:00:00",31.620000,74.876512,NH3,8,20,13
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","27-01-2026 09:00:00",31.321907,75.578914,NO2,36,42,40
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","27-01-2026 09:00:00",31.321907,75.578914,OZONE,38,80,45
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","27-01-2026 09:00:00","30.736056 ",76.209694,NO2,25,30,28
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","27-01-2026 09:00:00","30.736056 ",76.209694,NH3,7,8,7
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","27-01-2026 09:00:00",30.9028,75.8086,PM10,76,113,87
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","27-01-2026 09:00:00",28.108988,75.386577,NO2,20,66,41
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","27-01-2026 09:00:00",26.268249,73.0193853,NH3,6,12,8
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","27-01-2026 09:00:00",26.295810,73.082283,SO2,2,10,5
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","27-01-2026 09:00:00",26.295810,73.082283,CO,24,42,33
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","27-01-2026 09:00:00",26.215415,73.070156,NH3,8,14,10
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","27-01-2026 09:00:00",26.215415,73.070156,SO2,4,14,8
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","27-01-2026 09:00:00",26.358805,73.047444,PM2.5,58,187,114
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","27-01-2026 09:00:00",26.358805,73.047444,NH3,4,6,5
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","27-01-2026 09:00:00",26.358805,73.047444,CO,22,34,27
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","27-01-2026 09:00:00",26.253384,72.976571,NO2,23,48,34
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","27-01-2026 09:00:00",26.786682,75.827928,NH3,4,4,4
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","27-01-2026 09:00:00",26.960669,75.771817,PM2.5,57,288,104
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","27-01-2026 09:00:00",26.960669,75.771817,NO2,6,54,24
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","27-01-2026 09:00:00",26.9502929,75.730943,PM2.5,87,240,154
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","27-01-2026 09:00:00",26.9502929,75.730943,NH3,8,16,12
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","27-01-2026 09:00:00",26.9502929,75.730943,CO,30,118,82
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","27-01-2026 09:00:00",26.912329,70.909168,NH3,5,8,6
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","27-01-2026 09:00:00",25.344694,72.626208,SO2,4,9,7
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","27-01-2026 09:00:00",24.588397,76.172782,PM10,81,185,125
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","27-01-2026 09:00:00",30.649961,76.331442,OZONE,NA,NA,NA
India,Punjab,Patiala,"Model Town, Patiala - PPCB","27-01-2026 09:00:00",30.349388,76.366642,NO2,16,19,18
India,Punjab,Patiala,"Model Town, Patiala - PPCB","27-01-2026 09:00:00",30.349388,76.366642,CO,14,44,28
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","27-01-2026 09:00:00",26.470859,74.646594,CO,24,39,33
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","27-01-2026 09:00:00",27.554793,76.611536,SO2,18,45,28
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","27-01-2026 09:00:00",27.554793,76.611536,OZONE,8,75,15
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","27-01-2026 09:00:00",23.555190,74.440010,NO2,17,108,42
